,pro,mat,x,y,compute,m,n,nnz,cu_time,flops,cu_gflops
88,exe_spgemm_cusparse_16,/ssget/MM/SNAP/ca-HepPh/ca-HepPh.cbd,2,2,2,12008,12008,237010,5.93839,30795430,10.371642819013234
89,exe_spgemm_cusparse_32,/ssget/MM/SNAP/ca-HepPh/ca-HepPh.cbd,4,4,4,12008,12008,237010,6.27979,30795430,9.80778975093116
90,exe_spgemm_cusparse_64,/ssget/MM/SNAP/ca-HepPh/ca-HepPh.cbd,8,8,8,12008,12008,237010,8.17341,30795430,7.535515776157075
91,exe_spgemm_cusparse_bf16,/ssget/MM/SNAP/ca-HepPh/ca-HepPh.cbd,2,2,2,12008,12008,237010,5.96409,30795430,10.32695012986055
92,exe_spgemm_cusparse_16,/ssget/MM/SNAP/p2p-Gnutella25/p2p-Gnutella25.cbd,2,2,2,22687,22687,54705,0.15704,188066,2.3951349974528777
93,exe_spgemm_cusparse_32,/ssget/MM/SNAP/p2p-Gnutella25/p2p-Gnutella25.cbd,4,4,4,22687,22687,54705,0.15636,188066,2.405551291890509
94,exe_spgemm_cusparse_64,/ssget/MM/SNAP/p2p-Gnutella25/p2p-Gnutella25.cbd,8,8,8,22687,22687,54705,0.16324,188066,2.30416564567508
95,exe_spgemm_cusparse_bf16,/ssget/MM/SNAP/p2p-Gnutella25/p2p-Gnutella25.cbd,2,2,2,22687,22687,54705,0.15659,188066,2.4020180088128233
96,exe_spgemm_cusparse_16,/ssget/MM/SNAP/roadNet-PA/roadNet-PA.cbd,2,2,2,1090920,1090920,3083796,1.27261,9865130,15.503775705047108
97,exe_spgemm_cusparse_32,/ssget/MM/SNAP/roadNet-PA/roadNet-PA.cbd,4,4,4,1090920,1090920,3083796,1.26222,9865130,15.63139547780894
98,exe_spgemm_cusparse_64,/ssget/MM/SNAP/roadNet-PA/roadNet-PA.cbd,8,8,8,1090920,1090920,3083796,1.43821,9865130,13.718622454300831
99,exe_spgemm_cusparse_bf16,/ssget/MM/SNAP/roadNet-PA/roadNet-PA.cbd,2,2,2,1090920,1090920,3083796,1.27285,9865130,15.500852417802568
100,exe_spgemm_cusparse_16,/ssget/MM/SNAP/roadNet-TX/roadNet-TX.cbd,2,2,2,1393383,1393383,3843320,1.5357,12099370,15.757465650843264
101,exe_spgemm_cusparse_32,/ssget/MM/SNAP/roadNet-TX/roadNet-TX.cbd,4,4,4,1393383,1393383,3843320,1.53059,12099370,15.810073239731084
102,exe_spgemm_cusparse_64,/ssget/MM/SNAP/roadNet-TX/roadNet-TX.cbd,8,8,8,1393383,1393383,3843320,1.75437,12099370,13.793407320006613
103,exe_spgemm_cusparse_bf16,/ssget/MM/SNAP/roadNet-TX/roadNet-TX.cbd,2,2,2,1393383,1393383,3843320,1.53846,12099370,15.72919672919673
104,exe_spgemm_cusparse_16,/ssget/MM/SNAP/amazon0505/amazon0505.cbd,2,2,2,410236,410236,3356824,3.84751,31911578,16.58817157070417
105,exe_spgemm_cusparse_32,/ssget/MM/SNAP/amazon0505/amazon0505.cbd,4,4,4,410236,410236,3356824,3.83287,31911578,16.65153161990884
106,exe_spgemm_cusparse_64,/ssget/MM/SNAP/amazon0505/amazon0505.cbd,8,8,8,410236,410236,3356824,6.43942,31911578,9.911320584773163
107,exe_spgemm_cusparse_bf16,/ssget/MM/SNAP/amazon0505/amazon0505.cbd,2,2,2,410236,410236,3356824,3.86329,31911578,16.520415500777833
108,exe_spgemm_cusparse_16,/ssget/MM/SNAP/wiki-Vote/wiki-Vote.cbd,2,2,2,8297,8297,103689,1.54099,4542805,5.895956495499647
109,exe_spgemm_cusparse_32,/ssget/MM/SNAP/wiki-Vote/wiki-Vote.cbd,4,4,4,8297,8297,103689,1.45713,4542805,6.235277566174603
110,exe_spgemm_cusparse_64,/ssget/MM/SNAP/wiki-Vote/wiki-Vote.cbd,8,8,8,8297,8297,103689,1.50267,4542805,6.046310899931456
111,exe_spgemm_cusparse_bf16,/ssget/MM/SNAP/wiki-Vote/wiki-Vote.cbd,2,2,2,8297,8297,103689,1.45055,4542805,6.263562097135569
112,exe_spgemm_cusparse_16,/ssget/MM/SNAP/sx-superuser/sx-superuser.cbd,2,2,2,194085,194085,924886,61.27163,182151406,5.945701330289401
113,exe_spgemm_cusparse_32,/ssget/MM/SNAP/sx-superuser/sx-superuser.cbd,4,4,4,194085,194085,924886,66.05521,182151406,5.515126089221425
114,exe_spgemm_cusparse_64,/ssget/MM/SNAP/sx-superuser/sx-superuser.cbd,8,8,8,194085,194085,924886,89.63025,182151406,4.064507373347726
115,exe_spgemm_cusparse_bf16,/ssget/MM/SNAP/sx-superuser/sx-superuser.cbd,2,2,2,194085,194085,924886,61.36563,182151406,5.9365936925930685
116,exe_spgemm_cusparse_16,/ssget/MM/SNAP/amazon0302/amazon0302.cbd,2,2,2,262111,262111,1234877,0.81677,6021131,14.74376140161857
117,exe_spgemm_cusparse_32,/ssget/MM/SNAP/amazon0302/amazon0302.cbd,4,4,4,262111,262111,1234877,0.81854,6021131,14.711879688225375
118,exe_spgemm_cusparse_64,/ssget/MM/SNAP/amazon0302/amazon0302.cbd,8,8,8,262111,262111,1234877,0.95529,6021131,12.605870468653498
119,exe_spgemm_cusparse_bf16,/ssget/MM/SNAP/amazon0302/amazon0302.cbd,2,2,2,262111,262111,1234877,0.82319,6021131,14.62877585976506
120,exe_spgemm_cusparse_16,/ssget/MM/SNAP/ca-CondMat/ca-CondMat.cbd,2,2,2,23133,23133,186936,1.70131,4127524,4.852171561914054
121,exe_spgemm_cusparse_32,/ssget/MM/SNAP/ca-CondMat/ca-CondMat.cbd,4,4,4,23133,23133,186936,1.69921,4127524,4.8581682075788155
122,exe_spgemm_cusparse_64,/ssget/MM/SNAP/ca-CondMat/ca-CondMat.cbd,8,8,8,23133,23133,186936,1.61675,4127524,5.105952064326582
123,exe_spgemm_cusparse_bf16,/ssget/MM/SNAP/ca-CondMat/ca-CondMat.cbd,2,2,2,23133,23133,186936,1.70253,4127524,4.848694589816332
124,exe_spgemm_cusparse_16,/ssget/MM/SNAP/p2p-Gnutella09/p2p-Gnutella09.cbd,2,2,2,8114,8114,26013,0.14803,108864,1.4708369925015201
